"species","filter","methodPA","nPA","initial","cleaned","x","y","min_geom","AUC","TSS","OUC","boyce","COI"
"Ficuscarica","pixel","random","1000",-0.550558564530883,-0.281822922836407,0.3812470741726,-0.150502651175552,1.43277669674031,0.903166666666667,0.696233333333333,0.0711833156049024,0.58735332464146,0.718739773401697
"Ficuscarica","pixel","random","Npresences",-0.550558564530883,-0.281822922836407,0.3812470741726,-0.150502651175552,1.43277669674031,0.906810035842294,0.701207885304659,0.0583531394565192,0.58148631029987,0.744846964493464
"Hederahelix","control","disk","1000",2.41083846497999,2.35821023877096,0.505528827671879,0.828998911275978,0.232659232158029,0.998273636363636,0.989630909090909,0.30073397881516,0.589960886571056,NA
"Hederahelix","control","disk","Npresences",2.41083846497999,2.35821023877096,0.505528827671879,0.828998911275978,0.232659232158029,0.974568571428571,0.943639285714286,0.306361167877172,0.739243807040417,NA
"Hederahelix","control","random","1000",2.41083846497999,2.35821023877096,0.505528827671879,0.828998911275978,0.232659232158029,0.942077272727273,0.767886363636364,0.15645844742495,0.739243807040417,NA
"Hederahelix","control","random","Npresences",2.41083846497999,2.35821023877096,0.505528827671879,0.828998911275978,0.232659232158029,0.920176923076923,0.729188461538462,0.122577456186097,0.739243807040417,NA
"Hederahelix","country","disk","1000",2.41083846497999,2.35821023877096,0.505528827671879,0.828998911275978,0.232659232158029,0.998094285714286,0.989180952380952,0.425051470516186,0.515645371577575,NA
"Hederahelix","country","random","1000",2.41083846497999,2.35821023877096,0.505528827671879,0.828998911275978,0.232659232158029,0.916407079646018,0.699933628318584,0.160127906001936,0.739243807040417,NA
"Hederahelix","country","random","Npresences",2.41083846497999,2.35821023877096,0.505528827671879,0.828998911275978,0.232659232158029,0.900896907216495,0.679773195876289,0.129107162104635,0.739243807040417,NA
"Hederahelix","pixel","disk","1000",2.41083846497999,2.35821023877096,0.505528827671879,0.828998911275978,0.232659232158029,0.9961068,0.9835672,0.294199591284362,0.515645371577575,NA
"Hederahelix","pixel","random","1000",2.41083846497999,2.35821023877096,0.505528827671879,0.828998911275978,0.232659232158029,0.916091304347826,0.700317391304348,0.183611852971245,0.962842242503259,NA
"Hederahelix","pixel","random","Npresences",2.41083846497999,2.35821023877096,0.505528827671879,0.828998911275978,0.232659232158029,0.911514285714286,0.688810714285714,0.0971297361857054,0.776401564537158,NA
"Ilexaquifoli","control","disk","1000",0.763601219590346,0.871309885386046,0.026039958238833,1.0514019286257,0.191349805375718,0.997000917431193,0.980266055045871,0.0593060108635179,0.658409387222947,NA
"Ilexaquifoli","control","disk","Npresences",0.763601219590346,0.871309885386046,0.026039958238833,1.0514019286257,0.191349805375718,0.959397841726619,0.911497482014389,0.100174743899478,0.612125162972621,NA
"Ilexaquifoli","control","random","1000",0.763601219590346,0.871309885386046,0.026039958238833,1.0514019286257,0.191349805375718,0.949267782426778,0.813548117154812,0.0503344086524905,0.674054758800522,NA
"Ilexaquifoli","control","random","Npresences",0.763601219590346,0.871309885386046,0.026039958238833,1.0514019286257,0.191349805375718,0.930210332103321,0.782450184501845,0.0771081681068975,0.797913950456323,NA
"Ilexaquifoli","country","disk","1000",0.763601219590346,0.871309885386046,0.026039958238833,1.0514019286257,0.191349805375718,0.993786585365854,0.974442682926829,0.0628587557581109,0.627770534550196,NA
"Ilexaquifoli","country","random","1000",0.763601219590346,0.871309885386046,0.026039958238833,1.0514019286257,0.191349805375718,0.933525,0.734305,0.0525310646748402,0.860495436766623,NA
"Ilexaquifoli","country","random","Npresences",0.763601219590346,0.871309885386046,0.026039958238833,1.0514019286257,0.191349805375718,0.897779783393502,0.684808664259928,0.0827223466418142,0.860495436766623,NA
"Ilexaquifoli","pixel","disk","1000",0.763601219590346,0.871309885386046,0.026039958238833,1.0514019286257,0.191349805375718,0.995564255319149,0.976455319148936,0.0478755823435716,0.697522816166884,NA
"Ilexaquifoli","pixel","disk","Npresences",0.763601219590346,0.871309885386046,0.026039958238833,1.0514019286257,0.191349805375718,0.97051037037037,0.931611111111111,0.0745956121316905,0.612125162972621,NA
"Ilexaquifoli","pixel","random","1000",0.763601219590346,0.871309885386046,0.026039958238833,1.0514019286257,0.191349805375718,0.930910569105691,0.763508130081301,0.0596126020292067,0.767275097783572,NA
"Ilexaquifoli","pixel","random","Npresences",0.763601219590346,0.871309885386046,0.026039958238833,1.0514019286257,0.191349805375718,0.92695,0.752239285714286,0.0610036396813455,0.829204693611473,NA
"Juniperuscom","control","disk","1000",1.10801772149564,1.25476195743423,2.4761092028427,2.62191361466972,1.27268480055973,0.9933875,0.97197,0.713243301211667,0.367014341590613,0.362145964809223
"Juniperuscom","control","random","1000",1.10801772149564,1.25476195743423,2.4761092028427,2.62191361466972,1.27268480055973,0.871131004366812,0.627266375545852,0.411992221991166,0.537157757496741,0.478955477386402
"Juniperuscom","control","random","Npresences",1.10801772149564,1.25476195743423,2.4761092028427,2.62191361466972,1.27268480055973,0.851923913043478,0.600460144927536,0.267129257137009,0.850717079530639,0.547530962712784
"Juniperuscom","country","random","1000",1.10801772149564,1.25476195743423,2.4761092028427,2.62191361466972,1.27268480055973,0.855572052401747,0.584554585152838,0.652649084853678,0.423728813559322,0.444354797150319
"Juniperuscom","country","random","Npresences",1.10801772149564,1.25476195743423,2.4761092028427,2.62191361466972,1.27268480055973,0.833047445255474,0.571076642335766,0.600842091395959,0.962842242503259,0.477744076853499
"Juniperuscom","pixel","disk","1000",1.10801772149564,1.25476195743423,2.4761092028427,2.62191361466972,1.27268480055973,0.9656816,0.9229504,0.780712955109871,0.254889178617992,0.316322565347706
"Juniperuscom","pixel","random","1000",1.10801772149564,1.25476195743423,2.4761092028427,2.62191361466972,1.27268480055973,0.850004219409283,0.576607594936709,0.557620684887211,0.499348109517601,0.433289755914111
"Juniperuscom","pixel","random","Npresences",1.10801772149564,1.25476195743423,2.4761092028427,2.62191361466972,1.27268480055973,0.832864285714286,0.563075,0.371785991527371,0.925684485006519,0.559294192648658
"Juniperusoxy","control","disk","1000",-0.303690727814309,-0.589271669362028,-0.283127526674951,-0.821030627975258,-0.272487875968912,0.964263859649123,0.912736842105263,0.0638676432001759,0.658409387222947,0.764251482246779
"Juniperusoxy","control","disk","Npresences",-0.303690727814309,-0.589271669362028,-0.283127526674951,-0.821030627975258,-0.272487875968912,0.977071672354949,0.942873720136519,0.0538882422941207,0.633637548891786,0.820010995371917
"Juniperusoxy","control","random","1000",-0.303690727814309,-0.589271669362028,-0.283127526674951,-0.821030627975258,-0.272487875968912,0.940518656716418,0.816563432835821,0.0516826585460654,0.685788787483703,0.80521518773773
